taxonID	scientificName	old_page_id	new_page_id	status
8c13b73b-8aa0-31c9-aea6-940dab07aaa8	Quintinia oreophila (Schltr.) Schltr.	189649		skip:unparseable_collation:52(1-2): 125
a4430b87-6df9-3e9b-9f02-afa9a89a4d83	Clintonia borealis (Aiton) Raf.	33190031		skip:no_page_redirect:https://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1832&rft.volume=1&rft.spage=120&rft_id=https://www.biodiversitylibrary.org/bibliography/49498&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004
e2bac260-a879-3d38-b68f-11ce02e67ff7	Begonia boliviensis A.DC.		41585799	ok
cde13efe-cc40-3c15-94b4-d3e83d4ef4bc	Microdesmis puberula Hook.f. ex Planch.			skip:unparseable_collation:8: t. 758
b82afa2a-f429-33ca-befe-7bf3a3763b89	Castilleja miniata Douglas	33068534		skip:no_page_redirect:https://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1838&rft.volume=2&rft.spage=106&rft_id=https://www.biodiversitylibrary.org/bibliography/691&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004
dd6a086d-d356-32ae-af54-87ea5c88b7db	Sesamum capense Burm.fil.	33120548		skip:unparseable_collation:Prodr. Fl. Cap.: 17
7e53deb9-bc85-3466-ad9c-45e97510e21c	Clintonia umbellulata (Michx.) Morong			skip:no_page_redirect:https://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1894&rft.volume=5&rft.spage=114&rft_id=https://www.biodiversitylibrary.org/bibliography/45469&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004
8f801e40-0d6d-3a85-b414-f64876183c72	Hermannia tomentosa (Turcz.) Schinz ex Engl.	192573		skip:no_page_redirect:https://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1919&rft.volume=55&rft.spage=371&rft_id=https://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004
a42cde7d-8668-3d4e-a7f6-f06ad8f74138	Aloe dichotoma L.f., 1782	33355199		skip:unparseable_collation:206
e946cda7-760e-3aa0-b6e2-21416bade39a	Heliconia griggsiana L.B.Sm.			skip:no_page_redirect:https://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1939&rft.volume=124&rft.spage=6&rft_id=https://www.biodiversitylibrary.org/bibliography/59986&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004
d34c3564-d04e-3578-955a-b2e2d67cb570	Chrysochlamys membranacea Planch. & Triana			skip:no_page_redirect:https://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1860&rft.volume=14&rft.spage=260&rft_id=https://www.biodiversitylibrary.org/bibliography/5010&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004
42a0ce1e-4a62-36ce-abf3-4f20f676032f	Aloe millotii Reynolds			skip:no_page_redirect:https://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1956&rft.volume=22&rft.spage=23&rft_id=https://www.biodiversitylibrary.org/bibliography/135556&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004
4eb41ae6-56de-342c-9376-06f6e9f0ae94	Pternopetalum Franch.			skip:no_page_redirect:https://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1886&rft.volume=8&rft.spage=246&rft_id=https://www.biodiversitylibrary.org/bibliography/52015&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004
13057fe7-e550-36c6-b7d9-52e734bf47d6	Tournefortiopsis crispiflora subsp. poasana (Standl.) C.M.Taylor			skip:no_page_redirect:https://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=2021&rft.volume=29&rft.spage=251&rft_id=https://www.biodiversitylibrary.org/bibliography/744&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004
d03bdea3-d503-3a11-b32e-86086c9831d2	Aloe chabaudii Schönland			skip:no_page_redirect:https://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1905&rft.volume=38&rft.spage=102&rft_id=https://www.biodiversitylibrary.org/bibliography/48390&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004
cd7ad90b-6d21-3781-b8a2-23814d893903	Clusia loretensis Engl.			skip:unparseable_collation:58(4, Beibl. 130): 5
e4c4b651-78f7-33c6-bbd1-a33a68b94ce7	Anthocleista vogelii Planch.			skip:unparseable_collation:8: t. 793
ef22ed2d-3a8b-34aa-b563-353bb0f3e5c6	Ficus schippii Standl.		2396288	ok
bff2c068-2947-3073-a47b-9e90c3ba5138	Campylospermum reticulatum (P.Beauv.) Farron			skip:no_page_redirect:https://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1965&rft.volume=35&rft.spage=400&rft_id=https://www.biodiversitylibrary.org/bibliography/145725&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004
d8f41aed-0ac4-320e-8245-90bf171271bd	Coccinia schliebenii Harms		28675163	ok
5846f764-1ffc-38b9-ac55-dd4ebbe4c1e6	Chrysochlamys skutchii Hammel	641101	641101	ok
303e4eb0-9cf8-3de3-a561-2b14a67de84e	Ficus benghalensis L.	33355180	359080	ok
218a19c4-b8d5-3009-a1b3-0c24050597dd	Escobedia grandiflora (L.fil.) Kuntze	3450		skip:unparseable_collation:3[3]: 231
afd6beb8-9e69-3881-afd4-d90e5aee8fe8	Swertia striata Collett & Hemsl.			skip:no_page_redirect:https://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1890&rft.volume=28&rft.spage=91&rft_id=https://www.biodiversitylibrary.org/bibliography/350&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004
66f22acd-1c9f-3e55-9cf9-37473f45f831	Galium L.	33355180		skip:no_page_redirect:https://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1753&rft.volume=1&rft.spage=105&rft_id=https://www.biodiversitylibrary.org/bibliography/669&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004
71b8a46e-c61e-38ea-98f4-1195120c8e86	Voyriella parviflora (Miq.) Miq.	33355601		skip:unparseable_collation:147
8efdd430-a8fe-381e-87c4-7961c4a55ad3	Gentianella Moench	449113		skip:unparseable_collation:482
01fa0d7a-53ce-324f-a3d0-e67b12225aaa	Eustoma exaltatum (L.) Salisb.	33333178		skip:unparseable_collation:sub t. 34
22820283-10b3-3b21-a70e-b668ef4b0b27	Thismia crocea (Becc.) J.J.Sm.			skip:no_page_redirect:https://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1909&rft.volume=8&rft.spage=193&rft_id=https://www.biodiversitylibrary.org/bibliography/10923&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004
